Cluster,Size,Percentage,Avg_Age,Avg_Income,Avg_Spending,Female_Pct,Male_Pct
0,46,23.0,56.15217391304348,53.93478260869565,48.78260869565217,56.52173913043478,43.47826086956522
1,40,20.0,32.875,86.1,81.525,55.00000000000001,45.0
2,22,11.0,25.272727272727273,25.727272727272727,79.36363636363636,59.09090909090909,40.909090909090914
3,32,16.0,41.625,89.15625,17.75,43.75,56.25
4,2,1.0,35.5,78.0,1.0,0.0,100.0
5,21,10.5,44.142857142857146,25.142857142857142,19.523809523809526,61.904761904761905,38.095238095238095
6,37,18.5,26.64864864864865,56.32432432432432,48.891891891891895,64.86486486486487,35.13513513513514
